studentnummer,plaats,naam_vooropleiding,geslacht,,was_aanwezig,advies,aantal_weigeringen,gewogen_gemiddelde,komt_studeren,reden_stoppen,voorkeursopleiding,competenties,capaciteiten,intr_motivatie,extr_motivatie,is_mbo_deficient,Ondernemen in combinatie met studie,Nadere oriëntatie op een Ad-opleiding in ’s-Hertogenbosch,Nadere oriëntatie op een Ad opleiding in Roosendaal,persoonlijk_bijspijker_advies,"Functiebeperking, namelijk",Dyslexie,Topsport in combinatie met studie,Chronische ziekte,Problemen in de persoonlijke sfeer,"Ander onderwerp, namelijk",Financiële problemen in relatie tot studeren,Studiekeuze,Extra gesprek met opleiding,Bijscholing Engels,Peermentoring (specifiek ter ondersteuning van ASS & AD(H)D),Aanmelden_voor_verkort_opleidingstraject,Hyperrr - Peermentoring (specifiek door opleiding aangeboden),MBO - Oefenen Nederlandse Taal,MBO - Peermentoring (specifiek ter ondersteuning van ASS & AD(H)D),MBO - Peermentoring (ter ondersteuning in het algemeen door hogerejaars student van dezelfde opleiding),Traject opleiding
2000118,ROOSENDAAL,,M,1997,Ja,2,0,18,Ja,Uitgeschreven voor opleiding.,,6,7,8,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Verkort traject
2000119,LEPELSTRAAT,HAVO NIEUW Economie en Maatschappij,m,1998,Ja,2,1,16,-,,,5,7,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000120,DORDRECHT,Buitenlandse vooropleiding via SL,v,1991,,1,0,,-,Uitgeschreven voor opleiding.,,5,6,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000121,HARDINXVELD GIESSENDAM,Mediadeveloper,m,1998,Ja,2,0,18,Ja,,,6,6,5,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000122,BERGEN OP ZOOM,HAVO NIEUW Natuur en Gezondheid,m,1997,Ja,2,0,18,Ja,,,5,7,6,7,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000123,STEENBERGEN NB,HAVO NIEUW Economie en Maatschappij,m,2000,Ja,1,0,13,Ja,,,4,5,7,9,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000124,TILBURG,Media Interactieve vormgeving KC GOC,v,1994,Ja,2,0,18,Ja,,Informatica,6,8,6,8,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Regulier traject
2000125,BREDA,HAVO NIEUW Natuur en Techniek,m,2000,Ja,2,0,18,-,,,3,9,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000126,DONGEN,HAVO NIEUW Natuur en Gezondheid,m,2000,,0,0,,-,Uitgeschreven voor opleiding.,,2,5,8,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000127,HALSTEREN,HAVO NIEUW Economie en Maatschappij,m,1998,Ja,1,0,15,Ja,,Informatica,4,6,5,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000128,BREDA,Colloquium Doctum,m,1987,,0,0,0,Ja,Gestopt vanwege andere reden,,7,5,6,5,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000129,LANGEWEG,HAVO NIEUW Natuur en Gezondheid,m,1999,,1,0,,-,Uitgeschreven voor opleiding.,Communication & Multimedia Design,4,6,7,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000130,BREDA,Juridisch mdw openbaar bestuur,m,1994,Ja,2,0,17,-,Uitgeschreven voor opleiding.,Informatica,7,6,6,6,Ja,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
2000131,Dhaka,Buitenlandse vooropleiding via SL,m,1998,,1,0,,-,Uitgeschreven voor opleiding.,,5,5,5,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000132,BREDA,Applicatieontwikkelaar,m,1998,Ja,2,0,18,Ja,,,7,9,9,9,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000133,RIJSBERGEN,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1999,Ja,2,0,16,Ja,,,5,7,6,7,Nee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-
2000134,WERKENDAM,HAVO NIEUW Natuur en Gezondheid,m,1997,Ja,2,0,18,Ja,,,7,7,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000135,BREDA,Mediadeveloper,m,1994,Ja,2,0,17,Ja,,,6,6,6,8,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Regulier traject
2000136,BREDA,Applicatieontwikkelaar,m,1996,Ja,2,0,18,Ja,,,5,7,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000137,DORDRECHT,Applicatieontwikkelaar,m,1996,Ja,2,0,18,Ja,,,6,7,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000138,ROOSENDAAL,HAVO NIEUW Natuur en Gezondheid,m,1999,Ja,2,0,17,Ja,,,5,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
2000139,HENDRIK IDO AMBACHT,Applicatieontwikkelaar,m,1995,Ja,0,0,13,Ja,,,4,6,7,5,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Verkort traject
2000140,BREDA,HAVO NIEUW Natuur en Gezondheid,m,1997,Ja,2,0,17,Ja,,,6,6,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000141,BREDA,HAVO NIEUW Cultuur en Maatschappij,v,2000,Ja,0,0,11,Ja,,,3,5,6,6,Nee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000142,OOSTERHOUT NB,HAVO NIEUW Economie en Maatschappij,m,1999,Ja,1,1,13,Ja,,,4,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000143,PUTTE,HAVO NIEUW Economie en Maatschappij,v,2000,Ja,2,0,17,Ja,,Informatica,6,7,8,9,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000144,WERKENDAM,Applicatieontwikkelaar,m,1995,Ja,2,0,16,Ja,,,7,6,7,9,Nee,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Verkort traject
2000145,BREDA,VWO NIEUW Natuur en Gezondheid,m,1998,Ja,2,0,16,Ja,,,5,7,6,7,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000146,HOOGVLIET ROTTERDAM,HAVO NIEUW Natuur en Gezondheid,m,1998,Ja,2,0,18,Ja,,,4,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000147,ETTEN-LEUR,HAVO NIEUW Economie en Maatschappij,m,2000,,1,1,,-,Uitgeschreven voor opleiding.,,5,6,5,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000148,OOSTBURG,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1996,Ja,2,0,17,Ja,,,6,7,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000149,BEVERWIJK,HAVO NIEUW Natr en Tech+Natr en Gezondh,v,1998,,1,0,,-,Uitgeschreven voor opleiding.,,7,5,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000150,HOOGERHEIDE,Applicatieontwikkelaar,m,1997,Ja,2,0,17,Ja,,,6,7,5,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000151,HALSTEREN,HAVO NIEUW Natuur en Gezondheid,m,1998,Ja,1,0,15,Ja,,,5,6,6,6,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000152,'S-GRAVENHAGE,Colloquium Doctum,m,1992,Ja,2,0,16,Ja,,,4,7,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000153,PAPENDRECHT,Applicatieontwikkelaar,m,1998,,0,1,,-,Uitgeschreven voor opleiding.,,5,5,7,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000154,GILZE,HAVO NIEUW Natuur en Techniek,m,2000,Ja,2,0,18,-,,,6,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000155,MIDDELBURG,HAVO NIEUW Natuur en Techniek,m,1999,Ja,1,0,15,-,Uitgeschreven voor opleiding.,,7,6,5,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2000156,OOST-SOUBURG,HAVO NIEUW Economie en Maatschappij,m,1997,Ja,2,0,18,-,,,6,8,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000157,OUD-BEIJERLAND,HAVO NIEUW Natuur en Techniek,m,1999,Ja,2,0,18,-,Uitgeschreven voor opleiding.,,5,7,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000158,MIDDELBURG,Applicatieontwikkelaar,m,1991,Ja,2,0,18,Ja,,,6,6,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Verkort traject
2000159,BREDA,Buitenlandse vooropleiding via SL,m,1998,,1,0,,-,Uitgeschreven voor opleiding.,Technische Informatica,5,7,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000160,RILLAND,ICT-beheerder,m,1997,Ja,2,0,18,Ja,,,6,7,7,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000161,BREDA,Colloquium Doctum,m,1996,Ja,2,0,17,Ja,,,6,7,7,8,Nee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000162,BREDA,HAVO NIEUW Natuur en Gezondheid,m,1998,Ja,2,0,18,Ja,,,6,7,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000163,OOSTERHOUT NB,HAVO NIEUW Natr en Tech+Natr en Gezondh,v,1998,Ja,2,0,17,Nee,Uitgeschreven voor opleiding.,,6,6,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000164,Barendrecht,HAVO NIEUW Economie en Maatschappij,m,1996,,1,0,,-,Uitgeschreven voor opleiding.,,7,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000165,BREDA,HAVO NIEUW Economie en Maatschappij,m,1999,Ja,1,1,17,-,,,5,6,5,7,Nee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000166,BREDA,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1999,Ja,2,1,16,Ja,,Informatica,7,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000167,BREDA,Colloquium Doctum,m,1995,Ja,2,0,18,Ja,,,5,7,7,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000168,TILBURG,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1997,Ja,2,0,18,-,Uitgeschreven voor opleiding.,Ruimtelijke Ontwikkeling,6,8,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000169,ETTEN-LEUR,HAVO NIEUW Natr en Tech+Natr en Gezondh,v,1998,Ja,1,0,16,Ja,,,7,6,5,6,Nee,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-
2000170,ROOSENDAAL,ICT-beheerder,m,1994,Ja,2,0,18,Ja,,,7,7,4,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Regulier traject
2000171,ROOSENDAAL,HAVO NIEUW Economie en Maatschappij,m,1991,Ja,1,0,16,Ja,,,6,5,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2000172,ROOSENDAAL,ICT-beheerder,m,1994,,0,0,,-,Uitgeschreven voor opleiding.,,5,6,8,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000173,DORDRECHT,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1996,Ja,2,0,17,-,,,6,7,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000174,BREDA,Applicatieontwikkelaar,m,1997,Ja,2,0,15,Ja,,,7,7,5,7,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000175,ZWIJNDRECHT,Doktersassistent,v,1998,Ja,2,0,16,Ja,,,5,7,4,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000176,ANDEL,HAVO NIEUW Cultuur en Maatschappij,v,1995,Ja,2,1,16,Ja,,,6,7,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000177,ROTTERDAM,Netwerkbeheerder,m,1995,Ja,2,0,18,Ja,,,6,8,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000178,BERGEN OP ZOOM,HAVO NIEUW Natuur en Gezondheid,v,1994,Ja,1,0,17,Ja,,,6,5,7,6,Nee,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Regulier traject
2000179,ETTEN-LEUR,Middenkader Engineering Technicus,m,1992,,1,0,,-,Uitgeschreven voor opleiding.,,6,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000180,STEENBERGEN NB,HAVO NIEUW Economie en Maatschappij,m,1995,Ja,2,0,16,Ja,,,6,7,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000181,BREDA,Buitenlandse vooropleiding via SL,v,1996,,1,0,,-,Uitgeschreven voor opleiding.,,7,5,7,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000182,BREDA,HAVO NIEUW Natuur en Techniek,m,1998,Ja,2,1,18,-,Uitgeschreven voor opleiding.,,7,8,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000183,KOEWACHT,Mediadeveloper,m,1998,,0,0,,-,Uitgeschreven voor opleiding.,,7,5,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000184,PRINSENBEEK,HAVO NIEUW Cultuur en Maatschappij,m,1997,Ja,2,0,18,Ja,,,6,7,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000185,BREDA,HAVO NIEUW Economie en Maatschappij,m,1998,Ja,2,0,18,Ja,,,7,7,7,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000186,OUDENBOSCH,VWO NIEUW Natuur en Gezondheid,m,1998,Ja,2,0,17,Ja,,,6,7,6,7,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000187,BRUINISSE,Maatsch. Zorg MDW Volwassenenwerk,m,1996,Ja,2,0,17,-,Uitgeschreven voor opleiding.,Social Work,7,7,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Regulier traject
2000188,DORDRECHT,HAVO NIEUW Natuur en Gezondheid,v,1997,Ja,2,0,18,Ja,,,6,6,4,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000189,DORDRECHT,ICT-beheerder,m,1998,Ja,2,0,18,Ja,,,7,7,5,8,Nee,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000190,BREDA,HAVO NIEUW Cultuur en Maatschappij,m,1999,Ja,2,0,14,Ja,,,6,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000191,SINT MAARTENSDIJK,Applicatieontwikkelaar,m,1997,Ja,2,0,16,Ja,,,7,6,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Regulier traject
2000192,TILBURG,HAVO NIEUW Economie en Maatschappij,m,1999,Ja,2,0,16,-,,,6,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000193,ZEGGE,HAVO NIEUW Natuur en Techniek,m,1998,Ja,1,0,15,Ja,,,7,7,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Regulier traject
2000194,HOOGVLIET ROTTERDAM,HAVO Natuur en Gezondheid,m,1988,,1,0,,-,Uitgeschreven voor opleiding.,,6,7,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000195,ARKEL,Mediadeveloper,m,1997,Ja,2,0,18,Ja,,,7,8,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000196,BREDA,VWO NIEUW Natuur en Techniek,m,1999,Ja,2,0,18,Ja,,,7,7,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000197,DORDRECHT,HAVO NIEUW Economie en Maatschappij,m,1997,Ja,1,0,13,Ja,,,6,5,6,6,Nee,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000198,DORDRECHT,VWO NIEUW Natr en Tech+Natuur en Gezondh,m,1993,,1,1,,-,Uitgeschreven voor opleiding.,,6,5,6,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000199,HALSTEREN,Mediadeveloper,m,1994,Ja,1,0,12,Nee,Uitgeschreven voor opleiding.,,6,5,5,6,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000200,OOSTERHOUT NB,Buitenlands Diploma,m,1990,Ja,2,0,18,Ja,,,5,7,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000201,Essen,HAVO NIEUW Natuur en Techniek,m,2000,Ja,0,1,11,Nee,Uitgeschreven voor opleiding.,Environmental Science for Sustainable Energy and Technology of Milieukunde,6,5,7,5,Nee,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-
2000202,OOSTERHOUT NB,HAVO NIEUW Economie en Maatschappij,m,1999,Ja,1,0,16,Ja,,Informatica,5,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
2000203,DORDRECHT,HAVO NIEUW Cultuur en Maatschappij,v,1994,Ja,2,1,18,Ja,,,6,7,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000204,LANGEWEG,HAVO NIEUW Natuur en Gezondheid,m,1999,Ja,2,0,17,Ja,,,6,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000205,ETTEN-LEUR,AV-Prod geluidstechnicus KC GOC,m,1994,Ja,2,1,18,-,,,7,8,7,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000206,BREDA,VWO NIEUW Natr en Tech+Natuur en Gezondh,m,1994,Ja,2,0,17,-,Uitgeschreven voor opleiding.,Technische Informatica,6,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000207,DINTELOORD,HAVO NIEUW Natuur en Techniek,m,1999,Ja,1,0,14,Ja,,,7,5,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000208,EINDHOVEN,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1998,,0,1,,-,Uitgeschreven voor opleiding.,,5,7,5,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000209,BREDA,Colloquium Doctum,m,1993,Ja,1,0,15,-,,,6,6,6,6,Nee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000210,BREDA,HAVO NIEUW Economie en Maatschappij,m,1998,Ja,2,0,16,Ja,,,6,6,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000211,TILBURG,HAVO NIEUW Natuur en Gezondheid,m,1999,Ja,2,0,17,-,,,6,8,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000212,SCHIEDAM,HAVO NIEUW Economie en Maatschappij,m,1997,Ja,1,0,16,Ja,,,4,6,6,6,Nee,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-
2000213,BERLICUM NB,HAVO NIEUW Natuur en Techniek,m,2000,,1,0,,-,Uitgeschreven voor opleiding.,Technische Informatica,4,8,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000214,ROOSENDAAL,HAVO NIEUW Economie en Maatschappij,m,1999,,2,2,,-,Uitgeschreven voor opleiding.,Informatica,5,8,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000215,GILZE,HAVO NIEUW Natuur en Gezondheid,m,1998,Ja,2,1,18,Ja,,,7,6,7,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000216,ZIERIKZEE,HAVO NIEUW Economie en Maatschappij,m,1999,,0,1,,-,Uitgeschreven voor opleiding.,,6,5,8,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000217,PAPENDRECHT,VWO NIEUW Natuur en Gezondheid,v,1996,Ja,2,0,17,Ja,,,6,7,4,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000218,OUD BEIJERLAND,HAVO NIEUW Natuur en Gezondheid,m,1994,Ja,2,0,17,Ja,,,6,8,5,6,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000219,BREDA,HAVO NIEUW Economie en Maatschappij,m,1989,Ja,1,0,13,Ja,,Informatica,6,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-
2000220,TILBURG,HAVO NIEUW Economie en Maatschappij,m,1991,Ja,1,1,17,Ja,,,7,5,7,6,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000221,BREDA,HAVO NIEUW Economie en Maatschappij,m,1991,Ja,2,0,17,Ja,,,7,6,5,8,Nee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-
2000222,ROOSENDAAL,Biotechnologisch analist,v,1987,,1,1,,-,Uitgeschreven voor opleiding.,,7,8,4,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000223,NIEUWENDIJK NB,HAVO NIEUW Natuur en Gezondheid,m,1997,Ja,2,1,15,-,,,6,6,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000224,DORDRECHT,HAVO NIEUW Economie en Maatschappij,m,1995,Ja,2,0,18,Ja,,,7,7,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000225,BREDA,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1998,Ja,2,0,18,Ja,,Chemie,6,8,8,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000226,BARENDRECHT,HAVO NIEUW Economie en Maatschappij,m,1997,,0,1,,-,Uitgeschreven voor opleiding.,Business IT & Management,7,5,7,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000227,PAPENDRECHT,HAVO NIEUW Natuur en Techniek,m,1999,Ja,1,2,17,-,,,6,7,6,6,Nee,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-
2000228,BREDA,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1999,Ja,2,1,17,Ja,,,6,6,7,7,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000229,HEINKENSZAND,HAVO NIEUW Econ en Maatsch+Cult en Maats,m,1998,,1,0,,-,Uitgeschreven voor opleiding.,Business IT & Management,6,6,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000230,TRICHT,Colloquium Doctum,m,1992,,1,0,,-,Uitgeschreven voor opleiding.,,7,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000231,DORDRECHT,HAVO NIEUW Natuur en Techniek,m,2000,Ja,2,0,17,-,Uitgeschreven voor opleiding.,,6,5,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000232,SLIEDRECHT,HAVO NIEUW Natuur en Techniek,m,1996,Ja,1,0,16,Ja,,,6,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2000233,PRINSENBEEK,HAVO NIEUW Economie en Maatschappij,m,1998,,1,1,,-,Uitgeschreven voor opleiding.,,6,6,7,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000234,BREDA,HAVO NIEUW Natr en Tech+Natr en Gezondh,v,1997,,0,0,,-,Uitgeschreven voor opleiding.,Social Work,5,6,8,4,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000235,'S-HERTOGENBOSCH,HAVO NIEUW Natr en Tech+Natr en Gezondh,v,1995,,2,1,0,-,Uitgeschreven voor opleiding.,Informatica,7,6,5,8,Nee,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-
2000236,ROTTERDAM,Grafisch Lyceum Rotterdam voor MBO en VMBO,V,1995,,0,1,,-,Uitgeschreven voor opleiding.,Vormgeving,7,5,6,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000237,BREDA,HAVO NIEUW Economie en Maatschappij,m,1998,,0,1,,-,Uitgeschreven voor opleiding.,Bedrijfseconomie,6,6,5,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
